text,class
"Молитвенник упал из рук под стол,",0
Пусть как-нибудь стих за стихом польется.,0
 Учения в июне 2022 года получат название Baltic Operations 22 или BALTOPS 22.,1
"Такая глубина отлично подходила для дайверов, которые, погрузившись в воду с норвежского минного тральщика типа ""Альта"" с аквалангами, заполненными смесью кислорода, азота и гелия, могли бы закрепить кумулятивные заряды C-4 на четырех нитках, покрытых защитными бетонными оболочками.",1
"Панкратий жил счастлив в уединеньи,",0
" Эта версия подогревалась преднамеренными утечками из Белого дома, но так и не была подкреплена хоть сколь-нибудь ясным мотивом для такого акта самодиверсии.",1
" Немецкое правительство во главе с Ангелой Меркель оказывало колоссальное политическое и экономическое давление, чтобы добиться запуска второго трубопровода.",1
Я писал карикатуру,0
"Вольтер! Султан французского Парнасса,",0
" На самом деле, так оно и вышло. Многие немцы увидели в ""Северном потоке-1"" воплощение знаменитой ""восточной политики"" Вилли Брандта, которая позволила Германии восстановить себя и другие разрушенные во время Второй мировой войны европейские страны.",1
"Несколько месяцев спустя, когда выяснилось, что российские власти без лишнего шума занимаются оценкой расходов на ремонт трубопроводов, New York Times назвала эту новость ""усложняющей версии о том, кто стоит за подрывом"".",1
"У источника взгляд на решение Байдена устроить диверсию более ""уличный"".",1
" Чтобы этого избежать, гидроакустический буй издаст уникальную последовательность низкочастотных тональных звуков, похожих на звуки флейты или фортепиано.",1
"Не золота увидели б вы горы,",0
Путин использует эти трубопроводы для удовлетворения своих политических и территориальных амбиций.,1
" Бомбы будут заложены во время BALTOPS, как и планировалось, но Белый дом взволновало, что двухдневное окно для подрыва в конце учений может скомпрометировать Америку.",1
" Было известно, что в распоряжении российского флота имелись технологии, способные обнаруживать и активировать подводные мины.",1
" Их участники обсуждали, как наилучшим образом добиться поставленной цели. Вопрос заключался не в",1
"Святой вздремал, всхрапел, как старый вол.",0
Говорить: она моя!,0
И дней к концу спокойно приближался.,0
Иль седым Опекуном,0
"Тот девкою с прелатом повалился,",0
Норвежцы должны были устранить и другие препятствия.,1
"Этот прямой маршрут, проложенный в обход Украины, стал настоящим подарком для немецкой экономики, которая в изобилии получала дешевый газ из России.",1
"В то время ЦРУ возглавлял учтивый Уильям Бернс, бывший посол в России и заместитель госсекретаря в администрации Обамы.",1
"Белой груди колебанье,",0
"который стал процветающим курортным местечком на юго-западе Флориды в 110 километрах от границы Алабамы. Сам центр такой же невзрачный,",1
"Своими доходами ""Газпром"" делился с российским государством.",1
Тот молодцом к монашенкам пустился.,0
"Так, Наталья! признаюся,",0
Вкруг постели одинокой!,0
"Это была первая из ряда сверхсекретных встреч в неприступном кабинете на верхнем этаже примыкающего к Белому дому эйзенхауэровского административного здания, где в свое время также располагался Консультативный совет президента по внешней разведке.",1
" о том, что подрыв газопроводов ""Северный поток"" был результатом тайной операции ВМС США и норвежских",1
"Когда меня под вечер ожидая,",0
"Перекрестясь с постели он встает,",0
" Они разработали план с участием водолазов ВМС США, специально доработанных подводных лодок и глубоководного спасательного аппарата.",1
"В центре на протяжении десятилетий готовят высококвалифицированных боевых пловцов-аквалангистов, которые после обучения служат в американских",1
" После Уотергейтского скандала посыпались газетные разоблачения о шпионаже за американскими гражданами, причастности к убийствам иностранных лидеров и перевороту против социалистического правительства Сальвадора Альенде.",1
" Тогдашний директор ЦРУ Ричард Хелмс признал, что исполнять волю президента он обязан, даже нарушая закон.",1
Такие аквалангисты никогда не появляются в голливудских фильмах и на обложках популярных журналов.,1
Позднее Виктория Нуланд выразила удовлетворение по поводу ликвидации самого нового из трубопроводов.,1
И надеяться? – Наталья!,0
"И того, чего не знают;",0
и подготовки операции в 2021 и в начале 2022 года.,1
"На вопрос, почему, по его мнению, русские не смогли ответить, он цинично заявил: ""Может быть, хотят научиться делать то же самое, что и США"".",1
Предлагались всевозможные варианты. Но утвердили лишь один.,1
" Норвежцы решили, что эти мероприятия станут идеальным прикрытием для того, чтобы установить взрывчатку.",1
"И полуотверсты очи,",0
"Видел прелести Натальи,",0
"Нет, нет, Барков! скрыпицы не возьму,",0
"Сам, увы! с ума сошел.",0
"Это была одновременно и полезная тренировка, и остроумное прикрытие.",1
Я – по-свойски объяснюсь.,0
"В их рамках, как официально сообщили ВМС США, Шестой флот сотрудничает с ""исследовательскими и военными центрами"".",1
"Не владетель я Сераля,",0
" Несмотря на некоторые локальные разногласия, Пентагон учредил должности и заключил контракты, инвестировав сотни миллионов долларов в расширение и модернизацию объектов ВМС и ВВС США в Норвегии.",1
"За учтивого китайца,",0
За пышность он не мог попасться в ад.,0
"У жениха кровь сильно закипела,",0
Там не висел Рафаель на стенах.,0
"Кроме того, Америка значительно расширила одну норвежскую базу на севере страны и отправила военно-воздушным силам Норвегии целый парк патрульных самолетов P8 ""Посейдон"" компании ""Боинг"", чтобы те могли вести пристальное наблюдение за всем, что происходит внутри России.",1
Будто милая со мной;,0
"Однако ж нет! Панкратий вдруг проснулся,",0
"Завернувшись балахоном,",0
"Вижу… девственну лилею,",0
"Почитать меня нельзя,",0
Однако на сей раз они упрочили уже имеющиеся опасения насчет целесообразности и законности всей операции.,1
"Европа по-прежнему зависела от дешевого трубопроводного газа, и Вашингтон опасался, что такие страны как Германия не захотят помогать Украине деньгами и оружием, необходимыми для разгрома России.",1
Где-то в районе Вашингтона под глубоким прикрытием была тщательно отобрана группа оперативников ЦРУ и Агентства национальной безопасности (АНБ).,1
"Имел кота, имел псалтирь и четки,",0
"Враждебное отношение к ""Северному потоку-2"" вспыхнуло с новой силой накануне инаугурации Байдена в январе 2021 года.",1
"Таймер его распознáет, и по истечении заданного времени взрывчатка сработает.",1
" Это были люди из ВМС, а не из командования",1
" более вдумчивому подходу, поэтому для читателей, желающих составить самостоятельное мнение о выводах Херша, публикуем перевод его статьи об",1
" Мероприятие в море пройдет у побережья датского острова Борнхольм, и по его программе одна группа водолазов НАТО будет устанавливать мины, а команды соперников применят новейшие подводные технологии для их обнаружения и уничтожения.",1
 газ.,1
"Под стражею от злости когти гложет,",0
"""Все, что им оставалось, - это просто провернуть задуманное, вот только секретности при этом никто не отменял.",1
" Центр в Панама-Сити, где находится второй по размерам крытый",1
" ""Они ненавидели русских, а в норвежском военно-морском флоте было очень много превосходных моряков и аквалангистов, обладавших накопленным за несколько поколений опытом глубоководной нефтегазопоисковой разведки"", - пояснил источник.",1
"Двадцатью днями ранее с тем же заявлением на брифинге в Госдепартаменте выступила заместитель госсекретаря Нуланд, но это почти не освещалось в прессе.",1
" Но при этом создала новые возможности. По словам источника, часть высокопоставленных чиновников ЦРУ сочла, что подрыв трубопровода ""больше не может считаться тайным вариантом, потому что президент только что объявил, что мы знаем, как его осуществить"".",1
Любовника сладчайшая награда,0
"А в кулуарах чиновники из администрации призывали украинского президента Владимира Зеленского, которому грозило российское наступление, не критиковать этот шаг.",1
Американцы добавили один ключевой элемент: убедили стратегов Шестого флота вписать в программу опытно-конструкторские учения.,1
"С кружкой, пивом налитою,",0
"В тот момент в игру вновь вступила упомянутая выше загадочная группа водолазов-глубоководников из рядов ВМС США, базирующаяся в Панама-Сити.",1
" Вашингтон не знал, какую позицию займет новый канцлер Германии Олаф Шольц.",1
"Певец любви, фернейской старичок,",0
" В Вашингтоне усиливалась тревога, а Блинкен дал оценку, что численность группировки ""можно очень быстро удвоить"".",1
"Я не хочу седлать коня Пегаса,",0
"Но, лира! стой! – Далеко занесло",0
Под Геликон упавший в грязь с Вильоном,0
" Кроме того, эти люди тоже были готовы хранить информацию о миссии в тайне.",1
" Однако после установки таймер отложенной активации на любом из четырех трубопроводов мог сработать от причудливого сочетания океанских фоновых шумов по всему оживленному Балтийскому морю, включая наводки от ближних и дальних кораблей, подводного бурения, сейсмических явлений, волн и даже морских существ.",1
"""Лучшие дайверы, имеющие квалификацию глубоководных ныряльщиков, представляют собой сплоченное сообщество. На операции вызывают только лучших, и они должны быть готовы по первому зову прибыть в ЦРУ"", - сказал источник.",1
Защитить нас от дьявола не может. —,0
"впускные клапаны подводных силовых установок, разрушать шлюзы судоходных каналов.",1
"Один из ключевых вопросов заключался в том, где именно в Балтийском море заложить взрывчатку.",1
Сразу после подрыва трубопровода американские СМИ преподнесли инцидент как неразгаданную загадку.,1
"Надеялся увидеть вскоре рай,",0
"Да в уголку скамейка в пол-аршина,",0
"Поп замолчал – на девицу глядел,",0
"С молитвою три раза протянулся,",0
" Это очень важно, и это открывает огромные стратегические возможности на ближайшие годы, а пока мы полны решимости сделать все возможное, чтобы последствия кризиса не легли на плечи граждан наших стран, да и вообще всего мира"", - заявил Блинкен.",1
" По воспоминаниям источника: ""Билл Бернс вернулся и говорит: ""Работайте"".",1
"Администрация металась и спотыкалась, хотя в середине ноября получила передышку, когда энергетические регуляторы Германии приостановили сертификацию второго трубопровода.",1
"Со лбу рука в колени опустилась,",0
"И в тех местах, где черный сатана",0
"Не в далеке от тех прекрасных мест,",0
" ""Сегодня я хочу заявить предельно ясно, - сказала она в ответ на вопрос. - Если Россия вторгнется на Украину, ""Северный поток-2"" так или иначе будет остановлен"".",1
"Блинкен сказал ""да"", но добавил, что он не обсуждал детально точку зрения нового президента.",1
"Всё позабыл; седая голова,",0
" ЦРУ утверждало, что любые действия должны держаться в строжайшем секрете. Участники дискуссии постоянно поднимали ставки.",1
Не тягчат моей руки,0
"Политические страхи Америки имели под собой все основания. Теперь Путин получал дополнительный, очень серьезный и остро необходимый ему источник дохода, а Германия и остальные страны Западной Европы попадали в зависимость от дешевого газа из России.",1
"войск специального назначения, о спецоперациях которых необходимо докладывать в конгресс и заранее информировать руководство Сената и Палаты",1
"И слышал я, что будто старый поп,",0
" - План заключался в том, чтобы реализовать подготовленные варианты лишь после начала российской операции и не афишировать их публично. Байден этого попросту не понял или проигнорировал"".",1
"Не представь и немчурою,",0
Как он втолкнул Монаха грешных в стадо.,0
"Как в театре и на балах,",0
Не представь кавалергарда,0
"И, хоть по уши влюбленный,",0
"Виктория Нуланд сообщила, что США рады превращению ""Северного потока - 2"" в груду металла",1
Планирование,1
"Вашингтон и его антироссийские партнеры по НАТО с самого начала функционирования ""Северного потока - 1"" видели в нем угрозу западному господству.",1
Американцы в Норвегии действовали с тем же подходом и начали добросовестно решать новую проблему - как удаленно подорвать заложенное устройство С-4 по приказу Байдена.,1
"План подрыва газопроводов ""Северный поток-1"" и ""Северный поток-2"" внезапно ""разжаловали"" из строго секретной операции, невозможной без оповещения конгресса, до просто секретного разведывательного задания при военной поддержке США.",1
 Через двухполосную дорогу от него расположилась прачечная самообслуживания и школа танцев.,1
И с цыгаркою в зубах.,0
"Вздыхал, вздыхал, а дьявол тут как тут.",0
"На голове златой носящий крест,",0
"Нечто подобное уже делалось ранее. В 1971 году американская разведка узнала из так и не установленных источников, что два важных подразделения ВМФ СССР обмениваются данными по подводному кабелю по дну Охотского моря на Дальневосточном побережье.",1
"Огню любви единственна преграда,",0
"Взошедши в дом, где мирно жил Монах,",0
"Ел плотно, спал и всякой час молился.",0
"Зевнул опять, и… чуть-чуть не заснул.",0
"И снова бес Монаха соблазнять,",0
"Как! это что?…"" и, продолжать не смея,",0
Однако межведомственная группа поначалу скептически отнеслась к энтузиазму ЦРУ насчет тайной глубоководной атаки.,1
воинских частях по всему миру.,1
" Это тяжелая, долгая и опасная работа, но у вод рядом с остром Борнхольм было еще одно преимущество: там нет сильных приливных течений, которые существенно осложнили бы работу аквалангистов.",1
"Президент Байден и его внешнеполитическая команда в составе советника по национальной безопасности Джейка Салливана, госсекретаря Тони Блинкена и",1
"Проведя небольшое исследование, американцы согласились.",1
 Методом проб и ошибок удалось установить точную трассировку кабеля.,1
" Они могут погружаться в воду на большую глубину, чтобы творить как добрые дела, - скажем, при помощи взрывчатки",1
"Святой Монах молился уж, молился,",0
"его заместителя Виктории Нуланд были последовательны в своем враждебном отношении к этим трубопроводам, которые проложены параллельно друг другу",1
"Но – нет уж сил, кресты, псалтирь, слова, —",0
Кабель связывал региональное командование ВМФ с материковым штабом во Владивостоке.,1
Тогда сенатские республиканцы во главе с Тедом Крузом заговорили о политической опасности дешевого российского газа во время слушаний по вопросу утверждения в должности госсекретаря Энтони Блинкена.,1
" ""Он та перчатка, которая идеально садится на американскую руку"", - сказал упомянутый выше источник.",1
"""Сигнал нужен достаточно надежный, чтобы никакой другой импульс подорвать взрывчатку не смог"", - объяснил мне доктор Теодор Постол, почетный профессор науки, технологий и политики национальной безопасности Массачусетского технологического института.",1
" Воды Балтийского моря активно патрулируются российским флотом, и там нет нефтяных вышек, которые теоретически могут прикрыть работу водолазов.",1
﻿,0
"Красней и ты, богатый Кармелит,",0
"На многих участках расстояние между газопроводами ""Северный поток-1"" и ""Северный поток-2"", каждый из которых имеет по две нитки и которые пролегают до немецкого портового города Грайфсвальд, составляет всего около полутора километров.",1
" Издание Politico назвало решение президента по второму трубопроводу ""тем шагом, который поставил под угрозу всю повестку Байдена даже в большей степени, чем хаотичный уход военных из Афганистана"".",1
"Записывающее устройство и кассету приходилось менять ежемесячно, и проект благополучно продлился целое десятилетие, пока его не выдал сорокачетырехлетний гражданский техник АНБ по имени Рональд Пелтон, бегло говоривший по-русски.",1
"""Это потрясающая возможность раз и навсегда устранить зависимость от российской энергии и тем самым лишить Владимира Путина возможности использовать энергию в качестве оружия и средства продвижения его имперских замыслов.",1
"Не можешь ли ты мне помочь, Барков?",0
ответственность за диверсию.,1
"Некоторых из планировщиков насторожили чересчур откровенные, по их мнению, косвенные намеки на готовящийся удар.",1
Миловидной жрицы Тальи,0
"В конце концов агентство сдалось, и на протяжении 1970-х стало окончательно ясно, как далеко оно готово зайти.",1
"Республиканцы из сената во главе с Крузом объявили, что незамедлительно блокируют все назначения Байдена на внешнеполитические посты и на несколько месяцев задержат утверждение оборонного бюджета, дотянув до конца осени.",1
"Взглянь на окны загражденны,",0
"Дамам в слух того не скажет,",0
Уже меня противу рясок рвенье;,0
"А наш старик уж перестал креститься,",0
Иной в Париж к плешивым Картезианцам,0
Там пуховик над лавкой не вздувался.,0
Признаюсь – и я влюблен!,0
"И, любовью утомясь,",0
"По сути он признался сенаторам, что, будучи главой ЦРУ, прекрасно понимает, что работает на ""Корону"", а не на ""Конституцию"".",1
Я желал бы Филимоном,0
американских ведомств национальной безопасности.,1
" Сигнал распространился под водой - сначала на ""Северный поток-2"", а затем и на ""Северный поток-1"".",1
" Элитные выпускники Военно-морской академии США в Аннаполисе, которые обычно мечтают попасть в ряды морских котиков, пилотов истребителей или подводников, смотрят на школы для глубоководников в Панаме-Сити, чьи тренеры принимали участие еще в секретной операции ""Цветы плюща"", как на никому не нужное захолустье.",1
"Хотя монах, он в пухе не валялся",0
" Водолазы из Панама-Сити отрабатывали установку C-4 на трубопроводы, как планировалось и во время BALTOPS, но команде в Норвегии пришлось придумывать новый способ, как удовлетворить Байдена и дать ему возможность отдать приказ, когда сочтет нужным.",1
"Водолазно-спасательный центр ВМС США находится в месте столь же безвестном, как и его название - у проселочной дороги в городе Панама-Сити,",1
Событием уходящей недели стала публикация известного американского журналиста-расследователя Сеймура Херша,1
"Члены рабочей группы ЦРУ не имели прямого контакта с Белым домом и хотели выяснить, действительно ли президент имел в виду то, что сказал, - то есть, что миссия получила зеленый свет.",1
Глядит вокруг – светильня нагорела;,0
Я желал бы… да ногою,0
"Бьет час, Молок не хочет отцепиться,",0
"К тебе, Вольтер, я ныне обращаюсь.",0
Не люблю я бранный гром:,0
"Смехи, вольность – всё под лавку",0
"Хотя так и не стало ясно, зачем России разрушать собственный прибыльный трубопровод, более красноречивое обоснование действий президента [Байдена] прозвучало из уст госсекретаря Блинкена.",1
"Датский телеканал показал повреждения на газопроводе ""Северный поток-2"" / Авторы: TV 2/Bornholm",1
"Вторую пару труб под названием ""Северный поток - 2"" проложили, но в эксплуатацию не ввели. Когда российские войска начали скапливаться на",1
" Закон, пояснил источник, больше не обязывал докладывать об операции Конгрессу.",1
Последствия,1
"уничтожении ""Северных потоков"" на русский язык с незначительными сокращениями (источник - ИноСМИ). Прочитать статью стоит хотя бы потому, что",1
"Любые акции, которые выводили на след администрации, стали бы нарушением ее обещания свести к минимуму возможность прямого конфликта с Россией.",1
"26 сентября 2022 года разведывательный самолет P8 ВМФ Норвегии совершил, казалось бы, рядовой полет и сбросил гидроакустический буй.",1
 Это явно свидетельствовало о его нежелании полагаться на Вашингтон с его переменчивым курсом.,1
"Святой монах, грехопадение, юбка",0
"Всё к чему-то ум стремится,",0
"О юбка! речь к тебе я обращаю,",0
"С колпаком на волосах,",0
По воздуху на крыльях понеслись —,0
" Пелтона выдал советский перебежчик в 1985 году, после чего тот получил тюремный срок.",1
" Ребята из Панама-Сити сделают свое дело, и к концу учений BALTOPS22 взрывчатка C-4 с прикрепленным 48-часовым таймером будет на месте.",1
"Весь божий день он в кельи провождал,",0
А уж так и сяк размажет.,0
" После дежурного обмена репликами встал важный вопрос: будет ли рекомендация группы президенту обратимой (например, повысить уровень санкций и валютных ограничений) или необратимой (то есть начать кинетические действия, откатить которые назад уже не получится)?",1
Дух в восторг приводят мой!..,0
Выступит ли Байден против немцев?,1
"""Газпром"" владел 51 процентом акций компании, а остальные 49 процентов поделили между собой четыре европейские энергетические фирмы - французская, голландская и две немецкие.",1
"Как овладел он черным клобуком,",0
А к чему? – никто из нас,0
"Норвежцы и американцы выбрали место и людей, однако обнаружилось еще одно тревожное обстоятельство: любая необычная подводная активность в водах у Борнхольма могла привлечь внимание шведского или датского флотов, которые обязаны были доложить.",1
"Российская компания приносила огромные прибыли акционерам, среди которых преобладали олигархи, всецело подчиненные Путину.",1
Решение провести диверсию на трубопроводах Байден принял после длившихся девять с лишним месяцев совершенно секретных дебатов в кулуарах,1
Со вздохами земные клал поклоны. —,0
"Как вкопаный, пред белой юбкой стал,",0
" бассейн в Америке, был идеальным местом для отбора лучших и несловоохотливых выпускников водолазной школы, которые прошлым летом успешно",1
" военных. Сенсационная статья широко обсуждалась в мировых СМИ,",1
"""То, что им сказали, и то, что они знали, - это были намеренно разные вещи"", - сказал мне источник. (Норвежское посольство, к которому я обратился за комментариями, не отреагировало на мои запросы).",1
 А зависимость Европы от Америки уменьшилась.,1
"расчищать от мусора и неразорвавшихся боеприпасов гавани и пляжи - так и плохие, например, взрывать иностранные нефтяные платформы, портить",1
"В епанче и с париком,",0
Администрация Байдена всеми силами старалась избежать утечек информации во время планирования,1
Как раз в этот неспокойный момент Байден поручил Салливану собрать межведомственную группу и подготовить план.,1
"Неосмотрительность Байдена и Нуланд, если можно назвать это так, наверняка разочаровала некоторых планировщиков.",1
"Узнали вдруг, что разгорожена",0
" В течение следующих недель члены рабочей группы ЦРУ разрабатывали подробности тайной операции, в ходе которой водолазам предстояло устроить взрыв по ходу трассы газопровода.",1
 В некоторые годы его доходы от продажи нефти и газа составляли 45% российского годового бюджета.,1
Дни бежали один за другим.,1
"Но, Наталья! ты не знаешь",0
"New York Times назвала инцидент ""загадкой"", однако это была тайная подводная операция США, которая держалась в секрете - до сегодняшнего дня.",1
"Как яблоко, по груди покатилась,",0
"В первый раз еще, стыжуся,",0
"Бьет два, бьет три – нечистый всё сидит.",0
"Норвегия - одна из первых стран, подписавших Североатлантический договор в 1949 году, то есть в самом начале холодной войны.",1
С хватской шапкой на бекрень,0
И проснулся… вижу мрак,0
"вблизи эстонской границы, проходят рядом с датским островом Борнхольм, а заканчиваются в северной Германии.",1
знакомый с деталями планирования и подготовки операции.,1
"Молчал, краснел, смущался, трепетал.",0
На коей спал и завтракал Монах.,0
Выслушай еще меня:,0
Грубого американца,0
"Это мало того что глупо, так еще и если просочится наружу, то обернется политическим кошмаром"".",1
"Дальнейшее попросту ошеломляет. 7 февраля, менее чем за три недели до казавшегося уже неизбежным началом боевых действий на Украине, Байден встретился у себя в кабинете в Белом доме с канцлером Германии Олафом Шольцем, который после некоторого колебания безоговорочно поддержал американскую команду.",1
Бесить попов не наше ремесло.,0
по дну Балтийского моря по длине в 1200 километров.,1
Там трубопроводы были расположены на расстоянии более полутора километров друг от друга по морскому дну на глубине всего 80 метров.,1
Был монастырь; в глухих его стенах,0
"А ты поэт, проклятый Аполлоном,",0
"Где дерзостный восстал Иван-великой,",0
Панкратий наш Николы пред иконой,0
" как и место, где он находится. Это довольно старое серое бетонное здание, похожее на техническое училище где-нибудь в западной части Чикаго.",1
"В декабре 2021 года, за два месяца до того, как первые российские танки вкатились на территорию Украины, Джейк Салливан созвал совещание недавно сформированной оперативной группы из участников Объединенного комитета начальников штабов и сотрудников ЦРУ, Госдепартамента и министерства финансов, и посоветовался с ними, как отреагировать на надвигающиеся боевые действия.",1
"Пресс-секретарь Белого дома Эдриенн Уотсон (Adrienne Watson) написала в ответ на просьбу прокомментировать ситуацию: ""Это ложь и полная выдумка"".",1
Песнь первая,0
выполнили поставленную задачу в Балтийском море на глубине 80 метров.,1
Россия неоднократно упоминалась в качестве вероятного виновника.,1
"Куда, скажи, девался твой смычок,",0
"украинской границе, и на горизонте замаячил самый кровопролитный конфликт в Европе с 1945 года, президент Джозеф Байден посчитал, что Владимир",1
"Прикрепленная к трубопроводу взрывчатка C-4 должна была сработать от гидроакустического буя, сброшенного самолетом в кратчайшие сроки, и для этого требовалась самая передовая технология обработки сигналов.",1
" году, когда он раскрыл убийство военными США более полутысячи мирных граждан во вьетнамской деревне Сонгми, за что получил Пулитцеровскую",1
"Ты еще не понимаешь,",0
"Источник сказал, что на фоне ""всех этих козней"" некоторые сотрудники ЦРУ и Госдепартамента предупреждали: ""Не делайте этого.",1
"С копейками, с червонцами полез,",0
Я буду с ней всему известен миру.,0
"Но с тобою разлученный,",0
" Один руководитель из Госдепартамента признал, что попытки остановить трубопровод посредством санкций и дипломатии всегда были нереальны"".",1
"премию. Позже он писал для газеты The New York Times об Уотергейтском скандале (1972-1974), а в 2004 году рассказал о пытках, которые военные США устроили в иракской тюрьме ""Абу-Грейб"".",1
" Он был сторонником жесткой линии в любых вопросах, касавшихся Путина и России, и сотрудничал с американским разведывательным сообществом со времен Вьетнамской войны.",1
Лишь тобою занят я;,0
"К тому времени сплотившийся сенат принял закон, который, по словам Круза, ""поставил трубопровод на прикол"".",1
 И у норвежцев нашлось решение.,1
"Увидели б вы стул об трех ногах,",0
Монах,0
"Клобук, стихарь да штоф зеленой водки.",0
"С усмешкою даешь ты мне скрыпицу,",0
 А к моменту первого взрыва американцев и норвежцев уже и след простынет.,1
"Не арап, не турок я.",0
"Вижу я в пустом мечтаньи,",0
"""Единственным ее изъяном было решение ее осуществить"".",1
"В глуши лесов, в пустыне мрачной, дикой,",0
"Успех этой новаторской и рискованной подводной операции под кодовым названием ""Цветы плюща"" обеспечил бесценную информацию о планах и намерениях и советского флота.",1
"В ходе следующих нескольких встреч участники обсуждали различные варианты. ВМФ предложил ударить по трубопроводу напрямую недавно введенной в строй подводной лодкой. В ВВС обсуждали сбрасывание бомб с взрывателями замедленного действия, которые можно привести в действие дистанционно.",1
"Шпага, сабля, алебарда",0
